Image,Otsu_Threshold,Adaptive_Threshold_Mean,Adaptive_Threshold_Gaussian,PSNR_Otsu,PSNR_Adaptive_Mean,PSNR_Adaptive_Gaussian
1-014.jpg,72.85905096368296,226.0673805323201,232.79005002686804,31.865629118120445,31.63348868096492,31.663840548077417
1-030.jpg,88.73362221610257,211.43249393724915,217.59264899892545,30.568606922719116,30.44245124296898,30.42928196879036
1-075.jpg,88.48048778893947,214.51257927236315,222.3430839512925,30.691802190678054,30.601882941559026,30.60962278902053
1-108.jpg,59.09564578549871,231.49953880200437,236.93589663749657,32.4107643105591,32.23172646402769,32.23746329710173
1-111.jpg,94.29235694010355,226.93979404051788,238.45832518646102,30.219866297803343,30.080808486424978,30.063104121721533
1-126.jpg,78.24624043166011,217.310464491868,225.33460512604302,31.103729378029207,31.02003471678774,31.03098365737236
1-196.jpg,64.25973811619718,230.01263900541923,235.94892152598206,31.795408988306676,31.780888396081366,31.762811611928413
1-198.jpg,79.67819169024142,224.3152534400835,229.8793696270153,31.04870220770513,30.917612755683386,30.92952201417852
1-231.jpg,121.89359104613348,204.23274065092016,214.75764201642082,28.549222099628608,28.686115702611886,28.700525480126178
1-263.jpg,128.09891792140252,135.67095164199137,143.0076961791721,27.876591221539975,27.82646080106649,27.8432766364641
